Wavelength (nm),Absorbance (AU),Std.Dev.
428,2.900250435,0.033384836
429,2.970468998,0.042695302
430,2.987729549,0.033583316
431,3.021249294,0.025200351
432,3.004613876,0.030759781
433,2.92594099,0.053442823
434,2.982905865,0.029252591
435,2.91505146,0.029783655
436,3.013922691,0.040323134
437,2.949400425,0.040625763
438,2.929362297,0.034369243
439,2.959901333,0.037027369
440,2.874992847,0.050284672
441,3.104946136,0.086347124
442,3.032074451,0.061199973
443,2.939800739,0.044293865
444,3.040996552,0.055712227
445,3.014104366,0.04438259
446,2.953195095,0.049299483
447,2.969347,0.04537733
448,2.937375069,0.040878065
449,3.008196354,0.034722084
450,2.935452938,0.03285302
451,2.906439781,0.03863212
452,2.991208553,0.04441481
453,3.144244194,0.038370488
454,2.98681736,0.04806161
455,3.047702312,0.061049803
456,3.086191177,0.049865685
457,3.00786972,0.047888916
458,3.043455601,0.041930397
459,2.968550205,0.047695606
460,3.120996475,0.059625319
461,3.194633484,0.065121051
462,3.000199795,0.058154686
463,2.970900059,0.06787285
464,2.979948997,0.057408878
465,3.010574818,0.04826457
466,3.027605534,0.021988587
467,2.94065094,0.024005989
468,2.938482761,0.036756747
469,2.951186657,0.058058263
470,3.004752159,0.088990514
471,3.137324333,0.066598054
472,2.946419716,0.045120464
473,2.95728159,0.059562307
474,3.185486317,0.099874704
475,3.236942291,0.082895719
476,3.096768379,0.093053135
477,2.973106861,0.106086336
478,3.101779461,0.079481929
479,3.215352535,0.090820313
480,3.114024639,0.091820247
481,3.238749027,0.105407697
482,3.141676426,0.0992545
483,3.517538071,0.046373867
484,3.370188713,0.060942312
485,3.246061802,0.102208358
486,3.685730934,0.105049714
487,3.5133214,0.091069362
488,3.378607273,0.11766869
489,3.470771313,0.081484471
490,3.236989498,0.085711094
491,3.65349865,0.188185393
492,3.663742542,0.306509974
493,3.589970589,0.514439926
494,3.941196918,0.418853109
495,3.516466141,0.723489806
496,3.996147633,0.423652577
497,3.615022659,0.472470586
498,3.822649479,1.024838021
499,3.999999523,1.24990234
500,3.683386326,0.56777851
501,3.350562572,0.120725009
502,3.309794426,0.128439318
503,3.568872452,0.208820029
504,3.366448402,0.13684425
505,3.281976223,0.058638492
506,3.18343544,0.036146831
507,2.970299244,0.039568862
508,3.050546646,0.069740512
509,3.124794483,0.074860061
510,2.976774216,0.040380003
511,2.976370811,0.047471385
512,2.956245899,0.039015169
513,2.844220161,0.026508658
514,2.786547184,0.032407312
515,2.798530102,0.042766442
516,2.809664249,0.023563049
517,2.699654579,0.028197978
518,2.690665722,0.024060551
519,2.639831066,0.013711056
520,2.611634731,0.010901057
521,2.555573463,0.011525144
522,2.582080841,0.01211421
523,2.506664753,0.013829548
524,2.499760151,0.011199244
525,2.475873947,0.011978451
526,2.413290501,0.008225039
527,2.382979393,0.008397382
528,2.373940468,0.006838389
529,2.350049019,0.007860276
530,2.327451229,0.007455539
531,2.295747757,0.005093511
532,2.289099693,0.008652796
533,2.253513813,0.005158735
534,2.216874599,0.005230716
535,2.199109077,0.006096645
536,2.19453764,0.003137453
537,2.161905289,0.00298558
538,2.1291399,0.004550702
539,2.121632099,0.003791924
540,2.089565277,0.002851884
541,2.067437172,0.001839649
542,2.038115025,0.001742311
543,2.0159235,0.00275796
544,1.995702267,0.00383964
545,1.983946323,0.003802287
546,1.965298653,0.003728831
547,1.943460464,0.002331251
548,1.925646305,0.002574805
549,1.906286716,0.00179393
550,1.887214661,0.001808698
551,1.867160797,0.00267921
552,1.846917629,0.001953185
553,1.830158234,0.001738263
554,1.809372425,0.001429163
555,1.799348354,0.001549537
556,1.777094364,0.002058354
557,1.757659435,0.002055524
558,1.742386818,0.001814224
559,1.730693817,0.001404845
560,1.70965004,0.001894304
561,1.693853378,0.001040511
562,1.682067871,0.000983748
563,1.663048267,0.000897906
564,1.649971962,0.000660615
565,1.636820793,0.000858078
566,1.620423317,0.00097826
567,1.605552197,0.000407084
568,1.593773842,0.000439775
569,1.578761578,0.000573462
570,1.564692974,0.00071505
571,1.552170277,0.000445773
572,1.538285255,0.000628106
573,1.525213242,0.000769983
574,1.513868809,0.000589738
575,1.500683784,0.000525252
576,1.487009525,0.000402798
577,1.471129417,0.000340241
578,1.462350368,0.000546807
579,1.451095104,0.000632101
580,1.43813324,0.000637922
581,1.4259758,0.0004972
582,1.416405201,0.00055624
583,1.403551579,0.000654073
584,1.391234398,0.000513187
585,1.380984306,0.000351532
586,1.369805336,0.000272811
587,1.359303474,0.000373577
588,1.348679543,0.00038908
589,1.336642742,0.000306656
590,1.326943398,0.000281171
591,1.317646503,0.000424735
592,1.307754993,0.000298943
593,1.296523094,0.000370576
594,1.286157131,0.000529804
595,1.277695179,0.000627329
596,1.268186569,0.000462594
597,1.259563446,0.000400743
598,1.250809193,0.000423062
599,1.241887569,0.000329977
600,1.233511448,0.000352586
601,1.224158287,0.000298358
602,1.214720726,0.000237968
603,1.206655025,0.000205874
604,1.199374676,0.000274042
605,1.190407753,0.0002441
606,1.182465553,0.000354428
607,1.174817562,0.000367975
608,1.166594982,0.000306579
609,1.157949448,0.000380295
610,1.151339054,0.000327909
611,1.144104004,0.000230091
612,1.136746407,0.000308725
613,1.129514694,0.000250074
614,1.122674465,0.000371106
615,1.115603924,0.000261835
616,1.108777046,0.000336462
617,1.101272106,0.000271146
618,1.095033169,0.000294789
619,1.089042187,0.000197219
620,1.08313942,0.000144594
621,1.078423023,0.000179291
622,1.072108269,0.000161939
623,1.065222263,0.000233839
624,1.059844017,0.000198098
625,1.052356243,0.000241955
626,1.045899391,0.000229346
627,1.0410285,0.000185042
628,1.035907269,0.00027355
629,1.030071259,0.000331034
630,1.024103165,0.000261237
631,1.018367767,0.000277406
632,1.013177395,0.000207476
633,1.007480145,0.000158981
634,1.002110481,0.000244312
635,0.99711895,0.000258472
636,0.992300987,0.000274479
637,0.987802029,0.00028876
638,0.982686043,0.000196309
639,0.977202415,0.000232345
640,0.972637653,0.000259631
641,0.967811108,0.000391179
642,0.964069843,0.000269139
643,0.958828926,0.000213589
644,0.954872608,0.000342596
645,0.95096159,0.000305718
646,0.946171761,0.000497639
647,0.942064762,0.000328535
648,0.938080788,0.000330192
649,0.935007095,0.000406458
650,0.931105137,0.000285759
651,0.92683506,0.000240972
652,0.92290163,0.000373811
653,0.919185162,0.000352896
654,0.916569233,0.000363489
655,0.910823822,0.000170508
656,0.907966137,0.000150451
657,0.906864643,0.000215459
658,0.902666569,0.000363749
659,0.89873457,0.000370664
660,0.895589828,0.000280711
661,0.892814636,0.000381346
662,0.889924526,0.000408146
663,0.885987759,0.000357606
664,0.883292675,0.000323047
665,0.881153584,0.000207717
666,0.87810564,0.000208329
667,0.874311447,0.000330026
668,0.871970177,0.000276506
669,0.870344639,0.00020698
670,0.866658688,0.000262903
671,0.864573002,0.000171759
672,0.862027645,0.000170425
673,0.85987854,0.000140093
674,0.857796192,0.000182976
675,0.855483532,0.000129777
676,0.85337162,0.000159452
677,0.851135731,0.000129169
678,0.849279404,0.000129847
679,0.847671986,0.00015789
680,0.845838547,0.000176241
681,0.843870163,0.000155651
682,0.842526436,0.000155528
683,0.841000557,9.5303E-05
684,0.83948946,0.000137858
685,0.83796072,9.89618E-05
686,0.8371768,0.000106152
687,0.835576057,0.000140132
688,0.834281921,0.000119221
689,0.833088398,7.23332E-05
690,0.832443237,9.45341E-05
691,0.831433773,0.000121679
692,0.830138683,0.000137874
693,0.829469204,0.000131762
694,0.828452587,0.000108268
695,0.827417374,0.000138903
696,0.826247215,0.000114017
697,0.82511425,0.000140132
698,0.82426548,0.000175564
699,0.822759151,0.000207384
700,0.820737839,0.000157717
701,0.81882143,0.000156368
702,0.816510677,0.000159329
703,0.814054489,0.000136579
704,0.810954571,0.000176582
705,0.807287693,0.000201954
706,0.80227375,0.000107556
707,0.797572136,8.34438E-05
708,0.79184866,7.35968E-05
709,0.78464222,0.00011111
710,0.776229382,0.000140695
711,0.766691685,0.000102654
712,0.75545311,0.000110276
713,0.743390083,0.000143442
714,0.729860306,9.07821E-05
715,0.714841843,0.000102057
716,0.697977543,0.000141517
717,0.679459095,0.000100279
718,0.659426689,8.76654E-05
719,0.638482094,6.08953E-05
720,0.61591959,6.53215E-05
721,0.592383385,7.68167E-05
722,0.568396091,8.14876E-05
723,0.543584824,7.92942E-05
724,0.518326283,0.000101431
725,0.492837429,7.73697E-05
726,0.467277527,6.05602E-05
727,0.441895008,6.37519E-05
728,0.417442322,7.6827E-05
729,0.393640518,5.75987E-05
730,0.370940208,7.63103E-05
731,0.349406242,6.8181E-05
732,0.329136848,5.71916E-05
733,0.309333324,8.77873E-05
734,0.290884018,9.52768E-05
735,0.273820877,7.63342E-05
736,0.257707119,6.45282E-05
737,0.242825031,8.09135E-05
738,0.228803158,7.58516E-05
739,0.215849876,9.60942E-05
740,0.204310894,7.04494E-05
741,0.193487167,5.03679E-05
742,0.183680534,4.53434E-05
743,0.174744606,4.43318E-05
744,0.166685581,3.77312E-05
745,0.159110069,4.25442E-05
746,0.152509689,4.9733E-05
747,0.146302223,4.53622E-05
748,0.14071846,6.29028E-05
749,0.135561466,5.96066E-05
750,0.130857944,5.09525E-05
751,0.12651968,7.05751E-05
752,0.122585773,5.66333E-05
753,0.118985653,3.82742E-05
754,0.1157341,3.22165E-05
755,0.112449646,3.47151E-05
756,0.109783173,4.40229E-05
757,0.107279301,4.35243E-05
758,0.104855537,5.87691E-05
759,0.102427006,6.93187E-05
760,0.100240231,5.67566E-05
761,0.098474503,4.87203E-05
762,0.096472263,6.25493E-05
763,0.094626904,5.04265E-05
764,0.093105793,5.18888E-05
765,0.091736794,5.67256E-05
766,0.090183258,5.6292E-05
767,0.088690758,5.57451E-05
768,0.087718964,5.11395E-05
769,0.086520672,4.72767E-05
770,0.085569382,5.18351E-05
771,0.084589005,5.29955E-05
772,0.083889484,4.11802E-05
773,0.083355427,5.62152E-05
774,0.083015442,4.77076E-05
775,0.082754135,4.292E-05
776,0.08256197,5.59365E-05
777,0.08245945,4.77004E-05
778,0.082305431,4.61264E-05
779,0.082214832,5.54742E-05
780,0.082103252,5.32384E-05
781,0.081901073,6.91332E-05
782,0.081674576,5.71658E-05
783,0.081364632,4.75703E-05
784,0.081177711,4.682E-05
785,0.081172943,6.20969E-05
786,0.081393242,6.41625E-05
787,0.081989288,5.8046E-05
788,0.082692146,5.11217E-05
789,0.083581924,4.72153E-05
790,0.084096432,6.1184E-05
791,0.084634781,6.93023E-05
792,0.084849834,8.39233E-05
793,0.084932327,8.33129E-05
794,0.08527422,5.13514E-05
795,0.085883617,3.57532E-05
796,0.087045193,5.7946E-05
797,0.088224411,5.13481E-05
798,0.089558601,4.42663E-05
799,0.09049654,3.97845E-05
800,0.090924263,3.47069E-05
801,0.091279507,6.15766E-05
802,0.091936588,7.63431E-05
803,0.093091011,5.84169E-05
804,0.094786167,4.25876E-05
805,0.096412659,5.41919E-05
806,0.097803116,6.91545E-05
807,0.098618984,6.31895E-05
808,0.098990917,5.06571E-05
809,0.099864006,4.27375E-05
810,0.101460934,4.62212E-05
811,0.103568077,4.17021E-05
812,0.105349541,6.02393E-05
813,0.106296062,5.81429E-05
814,0.106836796,5.31219E-05
815,0.10777235,5.43155E-05
816,0.10964489,7.47875E-05
817,0.111975193,5.57838E-05
818,0.113700867,4.14999E-05
819,0.114393711,4.03477E-05
820,0.115127087,5.45077E-05
821,0.116623402,7.30402E-05
822,0.118993282,6.83792E-05
823,0.121068478,7.15526E-05
824,0.122202873,4.87658E-05
825,0.122811794,4.56308E-05
826,0.124140263,5.46972E-05
827,0.126471996,6.99896E-05
828,0.128647804,7.90673E-05
829,0.12980175,6.94826E-05
830,0.130282402,5.89314E-05
831,0.131879807,6.98806E-05
832,0.134305,6.69205E-05
833,0.136246204,7.19929E-05
834,0.136982441,7.69896E-05
835,0.137866974,5.87207E-05
836,0.139904022,8.0147E-05
837,0.142164707,7.62388E-05
838,0.143174648,6.14214E-05
839,0.143848896,6.06259E-05
840,0.14546442,5.95168E-05
841,0.147789955,5.3949E-05
842,0.149097919,7.03816E-05
843,0.149781704,7.87431E-05
844,0.151073933,7.61388E-05
845,0.153297901,8.72807E-05
846,0.154605865,6.7386E-05
847,0.1552701,6.92121E-05
848,0.156768799,7.05155E-05
849,0.158655167,6.1853E-05
850,0.1598382,3.81179E-05
851,0.160381317,5.74653E-05
852,0.161851406,7.55949E-05
853,0.163784504,5.90171E-05
854,0.164466381,7.09174E-05
855,0.165141582,7.64919E-05
856,0.16693449,0.000103891
857,0.168286324,9.26415E-05
858,0.168827057,8.66113E-05
859,0.169974804,6.03797E-05
860,0.171505451,9.69235E-05
861,0.17239809,5.81047E-05
862,0.172834873,4.81358E-05
863,0.174155235,7.7515E-05
864,0.175320625,4.64849E-05
865,0.175777912,5.43908E-05
866,0.176725864,5.57176E-05
867,0.17787075,6.2086E-05
868,0.178412437,6.66089E-05
869,0.178981304,6.71985E-05
870,0.180144787,9.12069E-05
871,0.180884361,7.35613E-05
872,0.181172371,8.8871E-05
873,0.182272434,6.5995E-05
874,0.182780743,9.49277E-05
875,0.18315506,9.84758E-05
876,0.183824062,6.25511E-05
877,0.184623718,7.62388E-05
878,0.184720516,5.9535E-05
879,0.185355186,6.83393E-05
880,0.185967922,7.61194E-05
881,0.186060905,9.37031E-05
882,0.186531067,6.84789E-05
883,0.187011719,6.60536E-05
884,0.187102318,6.30832E-05
885,0.187512875,6.28413E-05
886,0.187763214,6.51629E-05
887,0.187844276,7.0509E-05
888,0.188209057,7.49454E-05
889,0.188296795,9.11196E-05
890,0.188193321,7.9393E-05
891,0.18859005,6.59554E-05
892,0.188585281,7.52013E-05
893,0.188433647,6.80909E-05
894,0.188529491,4.4711E-05
895,0.188400269,4.76109E-05
896,0.188312531,7.81693E-05
897,0.1883111,7.77712E-05
898,0.187989712,8.88172E-05
899,0.18781662,7.96218E-05
900,0.187514782,7.21097E-05
901,0.187235355,6.5471E-05
902,0.186939716,7.07794E-05
903,0.186748028,9.33554E-05
904,0.186295509,7.07826E-05
905,0.186089039,6.28865E-05
906,0.185590267,6.48411E-05
907,0.185206413,7.02166E-05
908,0.184763432,7.29499E-05
909,0.184330463,8.38461E-05
910,0.183751106,7.63237E-05
911,0.18318367,8.74369E-05
912,0.182719231,6.54345E-05
913,0.182020664,8.21337E-05
914,0.181536198,6.68015E-05
915,0.180800915,6.48165E-05
916,0.180120945,0.000117217
917,0.17942524,9.58929E-05
918,0.178643227,8.79658E-05
919,0.177892208,9.66204E-05
920,0.177129745,7.49863E-05
921,0.176324368,6.92186E-05
922,0.17543602,9.68038E-05
923,0.174667835,6.14195E-05
924,0.173891544,6.32506E-05
925,0.172927856,7.55964E-05
926,0.171972752,9.8196E-05
927,0.171144009,7.59564E-05
928,0.170071602,5.39659E-05
929,0.169047832,8.7239E-05
930,0.168218613,8.79244E-05
931,0.167068958,0.00010621
932,0.166003227,0.000134075
933,0.164949417,0.000115696
934,0.163672447,0.000105862
935,0.162611485,9.55913E-05
936,0.161653042,0.000103642
937,0.160426617,9.2769E-05
938,0.159279823,9.26047E-05
939,0.157967567,9.2644E-05
940,0.156839848,0.000110942
941,0.155535221,8.77976E-05
942,0.154396534,9.62692E-05
943,0.153061867,8.7611E-05
944,0.15198946,0.000102366
945,0.150421619,9.99176E-05
946,0.149190426,9.45028E-05
947,0.147706032,7.45225E-05
948,0.146510601,7.51302E-05
949,0.145148754,8.80356E-05
950,0.143843651,9.91409E-05
951,0.142458439,9.28915E-05
952,0.141149521,0.000116266
953,0.139639854,7.7174E-05
954,0.138113976,6.39051E-05
955,0.136880875,8.12626E-05
956,0.135466576,0.000142091
957,0.134170055,0.000116211
958,0.132456779,9.46134E-05
959,0.131185532,0.000129138
960,0.129710674,0.000119506
961,0.128203392,0.000133088
962,0.126596928,0.000119867
963,0.125106335,0.000136128
964,0.123595715,9.92028E-05
965,0.122264385,0.000117677
966,0.120711327,0.000145784
967,0.119176388,0.00014664
968,0.117720127,0.000142449
969,0.116048813,0.000145425
970,0.114337921,0.000142088
971,0.11315012,0.000133739
972,0.111381531,0.000155282
973,0.109940052,0.000152826
974,0.108733654,0.000136592
975,0.106620789,0.000146612
976,0.105469704,0.000161703
977,0.103865623,0.000142408
978,0.102339268,0.000113665
979,0.100574017,0.000161289
980,0.099329472,0.000158585
981,0.097866535,0.000139194
982,0.096255302,0.000118831
983,0.094816685,0.000104213
984,0.09358263,0.000133804
985,0.091593742,0.000148384
986,0.090424538,0.000133912
987,0.088783741,0.000110899
988,0.087334156,0.000167358
989,0.086116314,0.000199421
990,0.084432602,0.000229529
991,0.083211422,0.00016845
992,0.081575394,0.000213222
993,0.080246449,0.000136199
994,0.079144001,0.000201571
995,0.077609062,0.000199735
996,0.07600832,0.000258683
997,0.074723244,0.000193443
998,0.073646545,0.000245745
999,0.071980476,0.000172462
1000,0.070990562,0.000195026
1001,0.068994045,0.000268279
1002,0.067988396,0.000315105
1003,0.066696167,0.000219652
1004,0.065436363,0.000240885
1005,0.063884258,0.000206408
1006,0.062674522,0.000224253
1007,0.061946869,0.00025764
1008,0.060154915,0.000287124
1009,0.059103012,0.000226602
1010,0.057997704,0.000235679
1011,0.056837559,0.000222968
1012,0.055277824,0.000354356
1013,0.054713249,0.000280186
1014,0.054062843,0.000349206
1015,0.052449703,0.000260861
1016,0.051642418,0.000393737
1017,0.050685883,0.000397342
1018,0.049262047,0.000368923
1019,0.048720837,0.000360938
1020,0.047760487,0.000388538
1021,0.04691124,0.000319736
1022,0.045544624,0.000305628
1023,0.04497242,0.000373363
1024,0.044701099,0.000535282
1025,0.042843819,0.000400262
1026,0.042469501,0.000421865
1027,0.042263508,0.000477165
1028,0.040881634,0.000530476
1029,0.040542603,0.000491933
1030,0.039316177,0.000320968
1031,0.038633347,0.000490363
1032,0.037531376,0.00046658
1033,0.037654877,0.00059791
1034,0.036244392,0.000350485
1035,0.035504341,0.000419877
1036,0.035090446,0.000578691
1037,0.034930229,0.000533458
1038,0.03382349,0.00059306
1039,0.034925938,0.000536464
1040,0.034115314,0.000511312
1041,0.032696247,0.000414742
1042,0.032559872,0.000609218
1043,0.032109261,0.000611447
1044,0.031545162,0.000624516
1045,0.032730579,0.000639665
1046,0.032142162,0.000615622
1047,0.030898571,0.000533512
1048,0.030078888,0.000701635
1049,0.030069351,0.000693184
1050,0.030791759,0.000934858
1051,0.031223297,0.000858553
1052,0.030765533,0.000821286
1053,0.030865669,0.000705894
1054,0.03041172,0.000680226
1055,0.029898643,0.00065769
1056,0.029575348,0.000750051
1057,0.030127048,0.000783695
1058,0.028996944,0.00077846
1059,0.030636311,0.000996388
1060,0.029753685,0.001017659
1061,0.029228687,0.00124434
1062,0.030968666,0.000851643
1063,0.031508923,0.001198981
1064,0.031621456,0.001166275
1065,0.032754898,0.001691318
1066,0.031896114,0.000920868
1067,0.030910015,0.001629979
1068,0.031414986,0.001445282
1069,0.033989906,0.001672874
1070,0.035125732,0.001463055
1071,0.03416872,0.001478568
1072,0.035269737,0.001447214
1073,0.035216331,0.001600355
1074,0.036157131,0.001881725
1075,0.034471035,0.001582433
1076,0.037465096,0.001888734
1077,0.038738728,0.001533337
1078,0.039948463,0.001593978
1079,0.037240028,0.002085045
1080,0.035427094,0.001425084
1081,0.041287899,0.001752371
1082,0.042908192,0.002170935
1083,0.042224884,0.002132412
1084,0.038431168,0.002061688
1085,0.045841217,0.001496879
1086,0.041574478,0.001462418
1087,0.048838139,0.002015142
1088,0.046383858,0.002210945
1089,0.049189568,0.002193235
1090,0.046295643,0.002545429
1091,0.053499222,0.001998144
1092,0.052410603,0.002403247
1093,0.054956913,0.002925552
1094,0.050546646,0.002191005
1095,0.054868221,0.002784969
1096,0.057202816,0.002350943
1097,0.050884247,0.002638138
1098,0.057277679,0.003041594
1099,0.060832024,0.003258028
1100,0.060532093,0.003163541
